Accepted or not,timestamp,IP_SRC,IP_DST,PORT_SRC,PORT_DST
X,Fri May 17 15:29:04 2024,10.10.6.42,10.10.6.41,57678,5242
X,Fri May 17 15:29:04 2024,10.10.6.41,10.10.6.40,36276,5241
X,Fri May 17 15:29:04 2024,10.10.6.40,10.10.6.41,56062,5240
A,Fri May 17 15:29:05 2024,10.10.6.41,10.10.6.42,52660,5241
A,Fri May 17 15:29:06 2024,10.10.6.41,10.10.6.42,52660,5241
X,Fri May 17 15:29:10 2024,10.10.6.42,10.10.6.41,57680,5242
A,Fri May 17 15:29:10 2024,10.10.6.40,10.10.6.42,51262,5240
X,Fri May 17 15:29:11 2024,10.10.6.40,10.10.6.41,56066,5240
X,Fri May 17 15:29:12 2024,10.10.6.41,10.10.6.42,52660,5241
A,Fri May 17 15:29:12 2024,10.10.6.42,10.10.6.40,44426,5242
X,Fri May 17 15:29:14 2024,10.10.6.42,10.10.6.41,57684,5242
A,Fri May 17 15:29:14 2024,10.10.6.41,10.10.6.40,36280,5241
X,Fri May 17 15:29:18 2024,10.10.6.42,10.10.6.41,57686,5242
X,Fri May 17 15:29:21 2024,10.10.6.42,10.10.6.41,57688,5242
A,Fri May 17 15:29:21 2024,10.10.6.42,10.10.6.40,44434,5242
